
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   1276 Services                   0      4,364 K
svchost.exe                  10896 Services                   0      4,492 K
svchost.exe                  12728 Services                   0      3,912 K
svchost.exe                  13572 Services                   0     12,116 K
msdtc.exe                     7420 Services                   0        628 K
dllhost.exe                  11260 Services                   0      3,072 K
svchost.exe                  15684 Services                   0     15,416 K
svchost.exe                   2616 Services                   0      2,052 K
csrss.exe                     5716 Console                   10      4,404 K
winlogon.exe                  9996 Console                   10      7,640 K
dwm.exe                      14768 Console                   10     96,232 K
fontdrvhost.exe              10708 Console                   10      7,784 K
MonectServer.exe             17248 Console                   10      1,908 K
Apoint.exe                   11928 Console                   10      6,164 K
RAVBg64.exe                  18196 Console                   10      6,232 K
RAVBg64.exe                   9020 Console                   10      8,988 K
esif_assist_64.exe           11628 Console                   10      1,116 K
sihost.exe                   15520 Console                   10     22,352 K
svchost.exe                  10936 Console                   10     22,024 K
svchost.exe                   5488 Console                   10     23,168 K
ctfmon.exe                   16208 Console                   10     11,508 K
igfxEM.exe                    5352 Console                   10      7,768 K
unsecapp.exe                 11268 Console                   10      3,928 K
taskhostw.exe                 7320 Console                   10     15,528 K
ApMsgFwd.exe                  9052 Console                   10      2,648 K
hidfind.exe                  11168 Console                   10      2,804 K
ApntEx.exe                    8168 Console                   10      2,648 K
conhost.exe                   9468 Console                   10      3,804 K
explorer.exe                 17700 Console                   10    186,224 K
svchost.exe                   6360 Console                   10     21,708 K
StartMenuExperienceHost.e    18044 Console                   10     78,304 K
RuntimeBroker.exe            13920 Console                   10     16,120 K
RuntimeBroker.exe              900 Console                   10     37,572 K
TextInputHost.exe            13240 Console                   10     19,356 K
svchost.exe                  12076 Console                   10      2,532 K
ShellExperienceHost.exe       8628 Console                   10     35,084 K
RuntimeBroker.exe             6500 Console                   10     12,884 K
SystemSettingsBroker.exe     19096 Console                   10     16,964 K
RtkNGUI64.exe                11520 Console                   10     10,344 K
RAVBg64.exe                  10544 Console                   10     10,352 K
chrome.exe                   11908 Console                   10    289,536 K
chrome.exe                   13812 Console                   10      4,064 K
chrome.exe                    5036 Console                   10    279,728 K
chrome.exe                   13080 Console                   10     39,704 K
chrome.exe                   12128 Console                   10     10,032 K
RAVBg64.exe                   1720 Console                   10      7,404 K
chrome.exe                    8828 Console                   10     91,520 K
chrome.exe                    9352 Console                   10    135,968 K
chrome.exe                   18952 Console                   10    101,960 K
chrome.exe                   12216 Console                   10      9,476 K
chrome.exe                   11372 Console                   10     13,776 K
chrome.exe                   16936 Console                   10     53,516 K
WavesSvc64.exe               10456 Console                   10      1,268 K
CNAP2LAK.EXE                 14528 Console                   10      3,776 K
CNAP2RPK.EXE                 18276 Console                   10      3,080 K
CNABFSWK.EXE                  2116 Console                   10      5,664 K
chrome.exe                    6592 Console                   10     11,728 K
SearchApp.exe                  376 Console                   10     74,872 K
RuntimeBroker.exe             1248 Console                   10     19,168 K
svchost.exe                  12368 Console                   10      6,608 K
Dell.TechHub.Instrumentat    13736 Console                   10     41,588 K
chrome.exe                    2988 Console                   10    141,080 K
rundll32.exe                   848 Console                   10      4,756 K
chrome.exe                   11348 Console                   10     42,832 K
DTShellHlp.exe               11840 Console                   10      7,028 K
dllhost.exe                   4552 Console                   10      7,588 K
ApplicationFrameHost.exe      7440 Console                   10     35,152 K
chrome.exe                   17920 Console                   10    101,636 K
chrome.exe                    5364 Console                   10    343,896 K
chrome.exe                   14712 Console                   10     66,632 K
LockApp.exe                  11024 Console                   10     51,592 K
RuntimeBroker.exe            18892 Console                   10     35,824 K
chrome.exe                   13676 Console                   10     75,088 K
chrome.exe                    9712 Console                   10     98,232 K
chrome.exe                   15304 Console                   10     76,400 K
chrome.exe                    8736 Console                   10     74,800 K
chrome.exe                    4124 Console                   10     18,932 K
svchost.exe                   8900 Console                   10      8,456 K
svchost.exe                  18100 Console                   10      7,176 K
dllhost.exe                   6640 Console                   10      7,380 K
chrome.exe                    7400 Console                   10     66,188 K
explorer.exe                  2804 Console                   10     58,472 K
wpscloudsvr.exe              18956 Console                   10      5,972 K
wpscenter.exe                17320 Console                   10     35,860 K
chrome.exe                   11916 Console                   10    106,424 K
chrome.exe                   12620 Console                   10     80,472 K
